eleccion_tipo,seccion_nombre,circuito_nombre,mesa_id,mesa_electores,agrupacion_nombre,votos_tipo,votos_cantidad
GENERAL,Comuna 01,2,31,338,,COMANDO,0
GENERAL,Comuna 01,2,32,337,UNION POR LA PATRIA,POSITIVO,85
GENERAL,Comuna 01,2,32,337,JUNTOS POR EL CAMBIO,POSITIVO,62
GENERAL,Comuna 01,2,32,337,LA LIBERTAD AVANZA,POSITIVO,51
GENERAL,Comuna 01,2,32,337,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,10
GENERAL,Comuna 01,2,32,337,HACEMOS POR NUESTRO PAIS,POSITIVO,4
GENERAL,Comuna 01,2,32,337,,EN BLANCO,9
GENERAL,Comuna 01,2,32,337,,NULO,4
GENERAL,Comuna 01,2,32,337,,IMPUGNADO,0
GENERAL,Comuna 01,2,32,337,,RECURRIDO,0
GENERAL,Comuna 01,2,32,337,,COMANDO,0
GENERAL,Comuna 01,2,33,335,UNION POR LA PATRIA,POSITIVO,109
GENERAL,Comuna 01,2,33,335,JUNTOS POR EL CAMBIO,POSITIVO,78
GENERAL,Comuna 01,2,33,335,LA LIBERTAD AVANZA,POSITIVO,40
GENERAL,Comuna 01,2,33,335,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,10
GENERAL,Comuna 01,2,33,335,HACEMOS POR NUESTRO PAIS,POSITIVO,5
GENERAL,Comuna 01,2,33,335,,EN BLANCO,0
GENERAL,Comuna 01,2,33,335,,NULO,1
GENERAL,Comuna 01,2,33,335,,IMPUGNADO,0
GENERAL,Comuna 01,2,33,335,,RECURRIDO,0
GENERAL,Comuna 01,2,33,335,,COMANDO,0
GENERAL,Comuna 01,2,34,337,UNION POR LA PATRIA,POSITIVO,120
GENERAL,Comuna 01,2,34,337,JUNTOS POR EL CAMBIO,POSITIVO,66
GENERAL,Comuna 01,2,34,337,LA LIBERTAD AVANZA,POSITIVO,34
GENERAL,Comuna 01,2,34,337,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,13
GENERAL,Comuna 01,2,34,337,HACEMOS POR NUESTRO PAIS,POSITIVO,7
GENERAL,Comuna 01,2,34,337,,EN BLANCO,3
GENERAL,Comuna 01,2,34,337,,NULO,3
GENERAL,Comuna 01,2,34,337,,IMPUGNADO,0
GENERAL,Comuna 01,2,34,337,,RECURRIDO,0
GENERAL,Comuna 01,2,34,337,,COMANDO,0
GENERAL,Comuna 01,2,35,343,UNION POR LA PATRIA,POSITIVO,100
GENERAL,Comuna 01,2,35,343,JUNTOS POR EL CAMBIO,POSITIVO,73
GENERAL,Comuna 01,2,35,343,LA LIBERTAD AVANZA,POSITIVO,38
GENERAL,Comuna 01,2,35,343,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,13
GENERAL,Comuna 01,2,35,343,HACEMOS POR NUESTRO PAIS,POSITIVO,7
GENERAL,Comuna 01,2,35,343,,EN BLANCO,6
GENERAL,Comuna 01,2,35,343,,NULO,0
GENERAL,Comuna 01,2,35,343,,IMPUGNADO,0
GENERAL,Comuna 01,2,35,343,,RECURRIDO,1
GENERAL,Comuna 01,2,35,343,,COMANDO,4
GENERAL,Comuna 01,2,36,338,UNION POR LA PATRIA,POSITIVO,106
GENERAL,Comuna 01,2,36,338,JUNTOS POR EL CAMBIO,POSITIVO,62
